Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,0.020391,0.022489,0.019475,0.020805,0.020805,4194889
2017-11-12,0.020838,0.021195,0.017130,0.018275,0.018275,5548971
2017-11-13,0.018570,0.020056,0.017910,0.019672,0.019672,3368732
2017-11-14,0.019664,0.020351,0.019351,0.019936,0.019936,2305457
2017-11-15,0.019849,0.021083,0.019182,0.020076,0.020076,5207106
2017-11-16,0.020182,0.021352,0.019474,0.020897,0.020897,3703690
2017-11-17,0.020566,0.020761,0.019063,0.019508,0.019508,2709008
2017-11-18,0.019375,0.020530,0.018733,0.019960,0.019960,2218265
2017-11-19,0.019864,0.021543,0.019363,0.021279,0.021279,3580126
2017-11-20,0.021330,0.024460,0.020921,0.022341,0.022341,12213881
2017-11-21,0.022345,0.022438,0.020687,0.021388,0.021388,4406455
2017-11-22,0.021440,0.021919,0.021023,0.021443,0.021443,3709238
2017-11-23,0.021436,0.021540,0.020630,0.020630,0.020630,3858002
2017-11-24,0.020602,0.021463,0.020277,0.021284,0.021284,4126247
2017-11-25,0.021241,0.022833,0.020808,0.022833,0.022833,4616768
2017-11-26,0.022825,0.029879,0.022586,0.027272,0.027272,22914803
2017-11-27,0.027487,0.042905,0.027491,0.037983,0.037983,58391363
2017-11-28,0.038008,0.098770,0.035995,0.089609,0.089609,179853326
2017-11-29,0.088479,0.109533,0.060741,0.066884,0.066884,157018780
2017-11-30,0.070770,0.095265,0.070775,0.088618,0.088618,91916765
2017-12-01,0.086208,0.097514,0.083634,0.097514,0.097514,54682702
2017-12-02,0.097723,0.103095,0.095866,0.098256,0.098256,42102895
2017-12-03,0.098256,0.103356,0.092958,0.097714,0.097714,34442064
2017-12-04,0.097521,0.108736,0.093794,0.100854,0.100854,56704798
2017-12-05,0.100672,0.101242,0.094560,0.095055,0.095055,37564196
2017-12-06,0.094503,0.099316,0.085180,0.088005,0.088005,56526363
2017-12-07,0.087951,0.092800,0.078253,0.078253,0.078253,52681056
2017-12-08,0.078729,0.090134,0.073642,0.086277,0.086277,52374206
2017-12-09,0.085739,0.103609,0.084855,0.089374,0.089374,47305238
2017-12-10,0.089512,0.089512,0.074821,0.082361,0.082361,34635250
2017-12-11,0.081350,0.090944,0.081128,0.090944,0.090944,29605080
2017-12-12,0.090790,0.103641,0.085566,0.100534,0.100534,45094459
2017-12-13,0.100420,0.106123,0.091847,0.100150,0.100150,45924075
2017-12-14,0.099692,0.179252,0.098141,0.179252,0.179252,230293357
2017-12-15,0.173635,0.173622,0.139171,0.160273,0.160273,155650580
2017-12-16,0.159828,0.335755,0.153340,0.303825,0.303825,436258001
2017-12-17,0.290393,0.444791,0.283815,0.385288,0.385288,471755896
2017-12-18,0.384483,0.395505,0.349043,0.387351,0.387351,189462556
2017-12-19,0.388898,0.440715,0.374446,0.396946,0.396946,208929325
2017-12-20,0.398763,0.398763,0.329839,0.363641,0.363641,136826988
2017-12-21,0.366556,0.391930,0.341405,0.357245,0.357245,121804725
2017-12-22,0.358085,0.358031,0.219512,0.304844,0.304844,113037580
2017-12-23,0.310288,0.337203,0.293926,0.309993,0.309993,66535639
2017-12-24,0.311965,0.311965,0.259838,0.291916,0.291916,50424597
2017-12-25,0.293638,0.328944,0.271521,0.311323,0.311323,91366831
2017-12-26,0.309237,0.321632,0.303326,0.320372,0.320372,70955585
2017-12-27,0.319356,0.321825,0.299327,0.309063,0.309063,61239836
2017-12-28,0.307455,0.312264,0.274236,0.303394,0.303394,61217294
2017-12-29,0.305445,0.412137,0.300331,0.391725,0.391725,197160308
2017-12-30,0.390998,0.575329,0.348991,0.473093,0.473093,477468893
2017-12-31,0.475563,0.558353,0.475353,0.533186,0.533186,226660993
2018-01-01,0.532558,0.540378,0.498066,0.539426,0.539426,111183003
2018-01-02,0.536479,0.584599,0.516166,0.575728,0.575728,213133230
2018-01-03,0.573590,0.803486,0.572736,0.799215,0.799215,486637069
2018-01-04,0.809853,0.981955,0.765737,0.822229,0.822229,437955731
2018-01-05,0.864317,0.924227,0.666202,0.736703,0.736703,374484080
2018-01-06,0.734817,0.776835,0.684834,0.757039,0.757039,219350684
2018-01-07,0.754828,0.769825,0.730683,0.742979,0.742979,166544134
2018-01-08,0.736208,0.736208,0.564163,0.662590,0.662590,194915236
2018-01-09,0.661988,0.677850,0.588149,0.602220,0.602220,154846626
2018-01-10,0.603054,0.603201,0.500840,0.587019,0.587019,175021834
2018-01-11,0.585835,0.585879,0.424483,0.508466,0.508466,169141733
2018-01-12,0.513900,0.678952,0.486809,0.653636,0.653636,266400851
2018-01-13,0.668131,0.705939,0.609195,0.643889,0.643889,228107937
2018-01-14,0.642314,0.642314,0.545855,0.584271,0.584271,117043187
2018-01-15,0.579536,0.643652,0.563710,0.564439,0.564439,705374093
2018-01-16,0.565913,0.565831,0.348012,0.454046,0.454046,1183251184
2018-01-17,0.452329,0.490683,0.319244,0.455080,0.455080,1239706296
2018-01-18,0.456666,0.511959,0.427436,0.475015,0.475015,925412172
2018-01-19,0.467601,0.496804,0.442865,0.469436,0.469436,421861886
2018-01-20,0.473814,0.524098,0.467377,0.510579,0.510579,533159397
2018-01-21,0.509772,0.509772,0.425429,0.441442,0.441442,610317500
2018-01-22,0.442752,0.454371,0.373151,0.407965,0.407965,374014160
2018-01-23,0.405161,0.423809,0.372983,0.401906,0.401906,268349762
2018-01-24,0.402119,0.447390,0.388222,0.437589,0.437589,485152272
2018-01-25,0.442603,0.477872,0.436029,0.450558,0.450558,462798796
2018-01-26,0.448020,0.460498,0.397095,0.440024,0.440024,571795028
2018-01-27,0.440091,0.446782,0.420180,0.435401,0.435401,233859668
2018-01-28,0.438032,0.481362,0.438032,0.473700,0.473700,229785148
2018-01-29,0.473055,0.473155,0.441288,0.442931,0.442931,169380242
2018-01-30,0.444065,0.443938,0.370168,0.375804,0.375804,254078010
2018-01-31,0.372755,0.388733,0.333030,0.365792,0.365792,356345707
2018-02-01,0.363395,0.377333,0.288810,0.295599,0.295599,417542236
2018-02-02,0.294048,0.294151,0.193189,0.276582,0.276582,1018987241
2018-02-03,0.283970,0.355268,0.234288,0.310790,0.310790,994688363
2018-02-04,0.307270,0.340042,0.262174,0.268819,0.268819,577430180
2018-02-05,0.272887,0.283008,0.228351,0.234792,0.234792,472314400
2018-02-06,0.237545,0.271405,0.191056,0.264942,0.264942,959006890
2018-02-07,0.263161,0.270796,0.238100,0.245296,0.245296,489764392
2018-02-08,0.248191,0.264906,0.242632,0.255909,0.255909,248588351
2018-02-09,0.253228,0.284881,0.246273,0.283052,0.283052,290040483
2018-02-10,0.279488,0.334489,0.278546,0.293366,0.293366,687982653
2018-02-11,0.292811,0.292877,0.262829,0.267522,0.267522,240156273
2018-02-12,0.269567,0.284099,0.269489,0.277544,0.277544,175517446
2018-02-13,0.276909,0.279577,0.258879,0.268900,0.268900,162569335
2018-02-14,0.269226,0.286412,0.266777,0.283202,0.283202,213349263
2018-02-15,0.281606,0.297421,0.278507,0.290250,0.290250,246981010
2018-02-16,0.290798,0.292464,0.278968,0.287922,0.287922,137197861
2018-02-17,0.286918,0.305222,0.285958,0.299382,0.299382,243433161
2018-02-18,0.298292,0.299472,0.271506,0.274833,0.274833,179113392
2018-02-19,0.275768,0.282988,0.275245,0.279823,0.279823,121491065
2018-02-20,0.279444,0.289468,0.269806,0.270576,0.270576,200907196
2018-02-21,0.268300,0.275750,0.259864,0.262018,0.262018,174259832
2018-02-22,0.260731,0.267555,0.237680,0.242201,0.242201,149349104
2018-02-23,0.239970,0.251353,0.231489,0.247231,0.247231,159333328
2018-02-24,0.246092,0.252408,0.226326,0.231268,0.231268,95613319
2018-02-25,0.230685,0.253882,0.225142,0.246301,0.246301,177411226
2018-02-26,0.247188,0.248428,0.229429,0.242308,0.242308,144534120
2018-02-27,0.242879,0.244177,0.237051,0.241358,0.241358,76792548
2018-02-28,0.240603,0.242001,0.227269,0.227299,0.227299,83447499
2018-03-01,0.226856,0.226856,0.209663,0.220994,0.220994,134086691
2018-03-02,0.221013,0.223055,0.209801,0.212622,0.212622,77687627
2018-03-03,0.212223,0.223942,0.211900,0.215232,0.215232,83541003
2018-03-04,0.214637,0.219943,0.207326,0.218056,0.218056,68461650
2018-03-05,0.217411,0.230251,0.211078,0.214921,0.214921,146356880
2018-03-06,0.213711,0.219055,0.204385,0.205308,0.205308,79361825
2018-03-07,0.204816,0.206994,0.170250,0.177874,0.177874,137241398
2018-03-08,0.178507,0.182936,0.160170,0.160648,0.160648,121574290
2018-03-09,0.160317,0.163091,0.138918,0.160427,0.160427,178217451
2018-03-10,0.162599,0.163568,0.150790,0.151522,0.151522,93233702
2018-03-11,0.151412,0.164084,0.143060,0.161312,0.161312,116464814
2018-03-12,0.161750,0.171329,0.158059,0.160905,0.160905,132515823
2018-03-13,0.160465,0.165043,0.154178,0.159646,0.159646,70772157
2018-03-14,0.159936,0.166843,0.140375,0.142861,0.142861,103197079
2018-03-15,0.142283,0.144317,0.123450,0.133258,0.133258,146550654
2018-03-16,0.134033,0.134042,0.125399,0.128237,0.128237,69865436
2018-03-17,0.128160,0.128439,0.109780,0.110949,0.110949,58137931
2018-03-18,0.110353,0.116166,0.091079,0.111995,0.111995,136046039
2018-03-19,0.115290,0.140946,0.112660,0.140946,0.140946,229597090
2018-03-20,0.137950,0.151442,0.128259,0.146349,0.146349,178294065
2018-03-21,0.146612,0.161704,0.143830,0.150759,0.150759,182226151
2018-03-22,0.152325,0.156736,0.136264,0.144210,0.144210,142834869
2018-03-23,0.143372,0.143706,0.128360,0.133903,0.133903,105313429
2018-03-24,0.133610,0.142345,0.129487,0.133862,0.133862,93858780
2018-03-25,0.133293,0.133650,0.128555,0.130500,0.130500,41954899
2018-03-26,0.130044,0.130984,0.113215,0.117874,0.117874,82535122
2018-03-27,0.118162,0.118938,0.105526,0.109295,0.109295,75844797
2018-03-28,0.109486,0.117006,0.108970,0.113678,0.113678,42798864
2018-03-29,0.113738,0.114129,0.103857,0.104744,0.104744,73782358
2018-03-30,0.104581,0.108038,0.097175,0.105104,0.105104,85587605
2018-03-31,0.105037,0.114636,0.103425,0.111323,0.111323,80768242
2018-04-01,0.111807,0.114826,0.100916,0.107415,0.107415,71838843
2018-04-02,0.108073,0.112966,0.105818,0.111346,0.111346,73119972
2018-04-03,0.112399,0.123321,0.110509,0.122590,0.122590,110888610
2018-04-04,0.121673,0.127361,0.109148,0.110283,0.110283,109889254
2018-04-05,0.110451,0.110917,0.102578,0.106218,0.106218,80976080
2018-04-06,0.105958,0.107448,0.101322,0.102513,0.102513,36780569
2018-04-07,0.102821,0.107493,0.102072,0.105595,0.105595,34210063
2018-04-08,0.105617,0.112449,0.105617,0.111142,0.111142,36261959
2018-04-09,0.111493,0.117587,0.104380,0.108348,0.108348,65828253
2018-04-10,0.108442,0.111345,0.105427,0.110259,0.110259,39479055
2018-04-11,0.110551,0.117478,0.108629,0.117029,0.117029,64702401
2018-04-12,0.117542,0.150713,0.115964,0.149051,0.149051,342725618
2018-04-13,0.148628,0.153197,0.138039,0.140823,0.140823,161806876
2018-04-14,0.139519,0.145011,0.136733,0.141048,0.141048,79502809
2018-04-15,0.141425,0.156913,0.140407,0.155427,0.155427,119206684
2018-04-16,0.155777,0.178997,0.148637,0.178997,0.178997,473413999
2018-04-17,0.177912,0.190073,0.169853,0.170496,0.170496,364445616
2018-04-18,0.169803,0.184714,0.169792,0.183326,0.183326,127538906
2018-04-19,0.188362,0.192924,0.183688,0.193409,0.193409,171076552
2018-04-20,0.192434,0.215381,0.191614,0.215100,0.215100,249445906
2018-04-21,0.215846,0.219602,0.194705,0.207483,0.207483,210377002
2018-04-22,0.205275,0.211981,0.200475,0.203939,0.203939,114968931
2018-04-23,0.203955,0.206770,0.202339,0.207013,0.207013,91290276
2018-04-24,0.207061,0.227984,0.206253,0.223594,0.223594,263715423
2018-04-25,0.223544,0.223640,0.190341,0.194972,0.194972,252347664
2018-04-26,0.194355,0.211966,0.186444,0.211464,0.211464,158593812
2018-04-27,0.211676,0.223468,0.206624,0.209277,0.209277,143041718
