CryptoID,Date,Open,High,Low,Close,Adj Close,Volume
DOGE-GBP,2017-11-11,0.000869,0.000953,0.000865,0.000911,0.000911,1691750
DOGE-GBP,2017-11-12,0.000901,0.000917,0.000761,0.000791,0.000791,2506829
DOGE-GBP,2017-11-13,0.000798,0.000924,0.000777,0.000923,0.000923,1891356
DOGE-GBP,2017-11-14,0.000915,0.000944,0.000863,0.0009,0.0009,2021996
DOGE-GBP,2017-11-15,0.000904,0.001026,0.000896,0.001016,0.001016,2156225
DOGE-GBP,2017-11-16,0.001023,0.001079,0.000976,0.001053,0.001053,2593582
DOGE-GBP,2017-11-17,0.001047,0.001056,0.000965,0.000994,0.000994,2109969
DOGE-GBP,2017-11-18,0.00099,0.001048,0.000949,0.001039,0.001039,1247642
DOGE-GBP,2017-11-19,0.001026,0.001076,0.001015,0.001043,0.001043,1084801
DOGE-GBP,2017-11-20,0.001041,0.001079,0.001021,0.001052,0.001052,1617219
DOGE-GBP,2017-11-21,0.001065,0.001091,0.000983,0.001049,0.001049,2300815
DOGE-GBP,2017-11-22,0.001058,0.001541,0.001037,0.001369,0.001369,14151795
DOGE-GBP,2017-11-23,0.001366,0.001689,0.001366,0.001421,0.001421,19639555
DOGE-GBP,2017-11-24,0.001459,0.001487,0.001342,0.001431,0.001431,7188571
DOGE-GBP,2017-11-25,0.001442,0.001554,0.001407,0.001554,0.001554,4072688
DOGE-GBP,2017-11-26,0.001554,0.001599,0.001409,0.001521,0.001521,5757717
DOGE-GBP,2017-11-27,0.001501,0.001528,0.001416,0.001492,0.001492,4643986
DOGE-GBP,2017-11-28,0.001495,0.001768,0.001464,0.001768,0.001768,6224306
DOGE-GBP,2017-11-29,0.001746,0.001926,0.001485,0.001551,0.001551,8257939
DOGE-GBP,2017-11-30,0.001527,0.001686,0.001396,0.001537,0.001537,3636524
DOGE-GBP,2017-12-01,0.001516,0.001659,0.001457,0.001595,0.001595,3903571
DOGE-GBP,2017-12-02,0.001575,0.001642,0.001498,0.001595,0.001595,3695754
DOGE-GBP,2017-12-03,0.001553,0.001737,0.001541,0.001648,0.001648,3522604
DOGE-GBP,2017-12-04,0.001636,0.001837,0.001617,0.001829,0.001829,4681673
DOGE-GBP,2017-12-05,0.001837,0.001999,0.001801,0.001849,0.001849,6540725
DOGE-GBP,2017-12-06,0.00186,0.001988,0.001823,0.001988,0.001988,6757252
DOGE-GBP,2017-12-07,0.001928,0.002121,0.001873,0.002018,0.002018,11689141
DOGE-GBP,2017-12-08,0.002025,0.002114,0.001728,0.002077,0.002077,8815363
